Date,Close
2024-05-22,117.93
2024-05-23,118.30
2024-05-24,117.14
2024-05-27,118.17
2024-05-28,118.09
2024-05-29,117.03
2024-05-30,116.65
2024-05-31,117.02
2024-06-01,117.72
2024-06-02,117.69
2024-06-03,117.99
2024-06-04,117.81
2024-06-05,117.87
2024-06-06,117.94
2024-06-07,117.53
2024-06-10,117.49
2024-06-11,116.98
2024-06-12,116.56
2024-06-13,116.18
2024-06-14,115.03
2024-06-15,115.05
2024-06-16,115.09
2024-06-17,115.30
2024-06-18,115.88
2024-06-19,116.72
2024-06-20,116.81
2024-06-21,116.36
2024-06-22,116.50
2024-06-23,116.49
2024-06-24,117.18
2024-06-25,117.31
2024-06-26,117.25
2024-06-27,116.27
2024-06-28,116.25
2024-06-30,116.22
2024-07-01,116.77
2024-07-02,116.00
2024-07-03,116.42
2024-07-04,116.94
2024-07-05,116.49
2024-07-06,116.49
2024-07-07,116.47
2024-07-08,115.91
2024-07-09,115.36
2024-07-10,115.85
2024-07-11,116.22
2024-07-12,116.97
2024-07-13,116.96
2024-07-14,116.93
2024-07-15,116.14
2024-07-16,115.28
2024-07-17,115.50
2024-07-18,116.04
2024-07-19,115.68
2024-07-22,116.45
2024-07-23,116.45
2024-07-24,116.52
2024-07-25,116.97
2024-07-26,117.10
2024-07-27,117.10
2024-07-28,117.01
2024-07-29,117.37
2024-07-30,118.42
2024-07-31,118.60
2024-08-01,116.62
2024-08-02,114.93
2024-08-05,112.39
2024-08-06,113.78
2024-08-07,116.26
2024-08-08,115.95
2024-08-09,116.07
2024-08-12,115.94
2024-08-13,116.39
2024-08-14,117.12
2024-08-15,118.31
2024-08-16,118.74
2024-08-17,118.78
2024-08-18,118.74
2024-08-19,119.29
2024-08-20,119.03
2024-08-21,119.16
2024-08-22,119.58
2024-08-23,120.56
2024-08-24,120.29
2024-08-25,120.16
2024-08-26,120.20
2024-08-27,120.06
2024-08-28,120.45
2024-08-29,120.22
2024-08-30,121.02
2024-09-02,121.14
2024-09-03,120.00
2024-09-04,120.58
2024-09-05,120.71
2024-09-06,119.61
2024-09-09,120.00
2024-09-10,119.54
2024-09-11,119.68
2024-09-12,119.57
2024-09-13,120.36
2024-09-14,120.48
2024-09-16,120.42
2024-09-17,120.45
2024-09-18,120.76
2024-09-19,121.42
2024-09-20,120.84
2024-09-21,120.85
2024-09-22,120.81
2024-09-23,121.46
2024-09-24,123.05
2024-09-25,122.42
2024-09-26,123.08
2024-09-27,123.67
2024-09-29,123.48
2024-09-30,122.92
2024-10-01,122.15
2024-10-02,122.90
2024-10-03,121.32
2024-10-04,122.61
2024-10-05,122.64
2024-10-06,122.61
2024-10-07,121.89
2024-10-08,121.10
2024-10-09,121.77
2024-10-10,122.56
2024-10-11,122.50
2024-10-12,122.45
2024-10-13,122.51
2024-10-14,123.31
2024-10-15,123.36
2024-10-16,124.35
2024-10-17,124.07
2024-10-18,124.32
2024-10-19,124.56
2024-10-20,124.60
2024-10-21,124.27
2024-10-22,123.16
2024-10-23,122.70
2024-10-24,123.03
2024-10-25,122.40
2024-10-26,122.32
2024-10-27,122.40
2024-10-28,122.88
2024-10-29,122.15
2024-10-30,121.86
2024-10-31,121.34
2024-11-01,122.72
2024-11-02,122.66
2024-11-03,122.65
2024-11-04,122.55
2024-11-05,122.71
2024-11-06,123.91
2024-11-07,124.46
2024-11-08,124.27
2024-11-09,124.25
2024-11-10,124.31
2024-11-11,124.92
2024-11-12,122.85
2024-11-13,122.75
2024-11-14,123.24
2024-11-15,123.66
2024-11-16,123.88
2024-11-17,123.87
2024-11-18,124.17
2024-11-19,123.51
2024-11-20,123.87
2024-11-21,124.17
2024-11-22,124.83
2024-11-24,124.84
2024-11-25,124.86
2024-11-26,124.96
2024-11-27,124.50
2024-11-28,124.81
2024-11-29,124.80
2024-11-30,125.01
2024-12-01,124.96
2024-12-02,125.47
2024-12-03,125.98
2024-12-04,126.17
2024-12-05,126.36
2024-12-06,126.71
2024-12-07,126.72
2024-12-08,126.78
2024-12-09,127.14
2024-12-10,126.62
2024-12-11,126.44
2024-12-12,126.32
2024-12-13,126.44
2024-12-14,126.48
2024-12-15,126.38
2024-12-16,125.83
2024-12-17,124.86
2024-12-18,124.39
2024-12-19,123.92
2024-12-20,123.84
2024-12-21,123.67
2024-12-22,123.75
2024-12-23,123.86
2024-12-27,124.55
2024-12-28,124.50
2024-12-29,124.48
2024-12-30,124.68
2025-01-02,125.24
2025-01-03,125.60
2025-01-04,125.55
2025-01-05,125.54
2025-01-06,125.21
2025-01-07,126.14
2025-01-08,126.09
2025-01-09,125.97
2025-01-10,124.80
2025-01-11,124.78
2025-01-12,124.78
2025-01-13,123.99
2025-01-14,124.46
2025-01-15,125.49
2025-01-16,125.71
2025-01-17,126.94
2025-01-18,126.82
2025-01-19,126.87
2025-01-20,126.79
2025-01-21,126.86
2025-01-22,127.30
2025-01-23,127.65
2025-01-24,127.61
2025-01-25,127.46
2025-01-26,127.39
2025-01-27,127.68
2025-01-28,127.90
2025-01-29,128.34
2025-01-30,129.42
2025-01-31,128.96
2025-02-01,128.55
2025-02-02,127.81
2025-02-03,128.31
2025-02-04,128.78
2025-02-05,129.88
2025-02-06,131.06
2025-02-07,131.24
2025-02-08,131.18
